Individual,FrameNumber,CubeEndPoint0(X),CubeEndPoint0(Y),CubeEndPoint0(Z),CubeEndPoint1(X),CubeEndPoint1(Y),CubeEndPoint1(Z),CubeEndPoint2(X),CubeEndPoint2(Y),CubeEndPoint2(Z),CubeEndPoint3(X),CubeEndPoint3(Y),CubeEndPoint3(Z),CubeEndPoint4(X),CubeEndPoint4(Y),CubeEndPoint4(Z),CubeEndPoint5(X),CubeEndPoint5(Y),CubeEndPoint5(Z),CubeEndPoint6(X),CubeEndPoint6(Y),CubeEndPoint6(Z),CubeEndPoint7(X),CubeEndPoint7(Y),CubeEndPoint7(Z),#XDIV,#YDIV,#ZDIV,
Person143,0,-0.8509237,-0.4746285,1.9206159999999999,0.986208,-0.4746285,1.9206159999999999,-0.8509237,1.040799,1.9206159999999999,0.986208,1.040799,1.9206159999999999,-0.8509237,-0.4746285,3.1832000000000003,0.986208,-0.4746285,3.1832000000000003,-0.8509237,1.040799,3.1832000000000003,0.986208,1.040799,3.1832000000000003,10,10,10,
Person143,1,-0.8509237,-0.4746285,1.920502,0.986208,-0.4746285,1.920502,-0.8509237,1.040799,1.920502,0.986208,1.040799,1.920502,-0.8509237,-0.4746285,3.1830860000000003,0.986208,-0.4746285,3.1830860000000003,-0.8509237,1.040799,3.1830860000000003,0.986208,1.040799,3.1830860000000003,10,10,10,
Person143,2,-0.8509237,-0.4746285,1.9205669999999997,0.986208,-0.4746285,1.9205669999999997,-0.8509237,1.040799,1.9205669999999997,0.986208,1.040799,1.9205669999999997,-0.8509237,-0.4746285,3.183151,0.986208,-0.4746285,3.183151,-0.8509237,1.040799,3.183151,0.986208,1.040799,3.183151,10,10,10,
Person143,3,-0.8509237,-0.4746285,1.9205709999999998,0.986208,-0.4746285,1.9205709999999998,-0.8509237,1.040799,1.9205709999999998,0.986208,1.040799,1.9205709999999998,-0.8509237,-0.4746285,3.183155,0.986208,-0.4746285,3.183155,-0.8509237,1.040799,3.183155,0.986208,1.040799,3.183155,10,10,10,
Person143,4,-0.8509237,-0.4746285,1.9205349999999997,0.986208,-0.4746285,1.9205349999999997,-0.8509237,1.040799,1.9205349999999997,0.986208,1.040799,1.9205349999999997,-0.8509237,-0.4746285,3.183119,0.986208,-0.4746285,3.183119,-0.8509237,1.040799,3.183119,0.986208,1.040799,3.183119,10,10,10,
Person143,5,-0.8509237,-0.4746285,1.9206659999999998,0.986208,-0.4746285,1.9206659999999998,-0.8509237,1.040799,1.9206659999999998,0.986208,1.040799,1.9206659999999998,-0.8509237,-0.4746285,3.18325,0.986208,-0.4746285,3.18325,-0.8509237,1.040799,3.18325,0.986208,1.040799,3.18325,10,10,10,
Person143,6,-0.8509237,-0.4746285,1.9212439999999997,0.986208,-0.4746285,1.9212439999999997,-0.8509237,1.040799,1.9212439999999997,0.986208,1.040799,1.9212439999999997,-0.8509237,-0.4746285,3.183828,0.986208,-0.4746285,3.183828,-0.8509237,1.040799,3.183828,0.986208,1.040799,3.183828,10,10,10,
Person143,7,-0.8509237,-0.4746285,1.9214189999999998,0.986208,-0.4746285,1.9214189999999998,-0.8509237,1.040799,1.9214189999999998,0.986208,1.040799,1.9214189999999998,-0.8509237,-0.4746285,3.184003,0.986208,-0.4746285,3.184003,-0.8509237,1.040799,3.184003,0.986208,1.040799,3.184003,10,10,10,
Person143,8,-0.8509237,-0.4746285,1.920267,0.986208,-0.4746285,1.920267,-0.8509237,1.040799,1.920267,0.986208,1.040799,1.920267,-0.8509237,-0.4746285,3.1828510000000003,0.986208,-0.4746285,3.1828510000000003,-0.8509237,1.040799,3.1828510000000003,0.986208,1.040799,3.1828510000000003,10,10,10,
Person143,9,-0.8509237,-0.4746285,1.9201249999999996,0.986208,-0.4746285,1.9201249999999996,-0.8509237,1.040799,1.9201249999999996,0.986208,1.040799,1.9201249999999996,-0.8509237,-0.4746285,3.182709,0.986208,-0.4746285,3.182709,-0.8509237,1.040799,3.182709,0.986208,1.040799,3.182709,10,10,10,
Person143,10,-0.8509237,-0.4746285,1.9193379999999998,0.986208,-0.4746285,1.9193379999999998,-0.8509237,1.040799,1.9193379999999998,0.986208,1.040799,1.9193379999999998,-0.8509237,-0.4746285,3.181922,0.986208,-0.4746285,3.181922,-0.8509237,1.040799,3.181922,0.986208,1.040799,3.181922,10,10,10,
Person143,11,-0.8509237,-0.4746285,1.9196959999999996,0.986208,-0.4746285,1.9196959999999996,-0.8509237,1.040799,1.9196959999999996,0.986208,1.040799,1.9196959999999996,-0.8509237,-0.4746285,3.18228,0.986208,-0.4746285,3.18228,-0.8509237,1.040799,3.18228,0.986208,1.040799,3.18228,10,10,10,
Person143,12,-0.8509237,-0.4746285,1.9196459999999997,0.986208,-0.4746285,1.9196459999999997,-0.8509237,1.040799,1.9196459999999997,0.986208,1.040799,1.9196459999999997,-0.8509237,-0.4746285,3.18223,0.986208,-0.4746285,3.18223,-0.8509237,1.040799,3.18223,0.986208,1.040799,3.18223,10,10,10,
Person143,13,-0.8509237,-0.4746285,1.9192989999999996,0.986208,-0.4746285,1.9192989999999996,-0.8509237,1.040799,1.9192989999999996,0.986208,1.040799,1.9192989999999996,-0.8509237,-0.4746285,3.181883,0.986208,-0.4746285,3.181883,-0.8509237,1.040799,3.181883,0.986208,1.040799,3.181883,10,10,10,
Person143,14,-0.8509237,-0.4746285,1.919209,0.986208,-0.4746285,1.919209,-0.8509237,1.040799,1.919209,0.986208,1.040799,1.919209,-0.8509237,-0.4746285,3.1817930000000003,0.986208,-0.4746285,3.1817930000000003,-0.8509237,1.040799,3.1817930000000003,0.986208,1.040799,3.1817930000000003,10,10,10,
Person143,15,-0.8509237,-0.4746285,1.919181,0.986208,-0.4746285,1.919181,-0.8509237,1.040799,1.919181,0.986208,1.040799,1.919181,-0.8509237,-0.4746285,3.1817650000000004,0.986208,-0.4746285,3.1817650000000004,-0.8509237,1.040799,3.1817650000000004,0.986208,1.040799,3.1817650000000004,10,10,10,
